8.0 8.0 8.0

10 1.0
6.0	6.0	6.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
2.0 2.0 2.0

4 2.0
2.0 2.0 2.0
2.0 2.0 2.0
2.0 2.0 2.0
2.0 2.0 2.0

10 1.0
6.0	6.0	6.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
2.0 2.0 2.0

4 2.0
2.0 2.0 2.0
2.0 2.0 2.0
2.0 2.0 2.0
2.0 2.0 2.0

10 1.0
6.0	6.0	6.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
6.0	6.0	6.0
2.0 2.0 2.0
2.0 2.0 2.0

4 2.0
2.0 2.0 2.0
2.0 2.0 2.0
2.0 2.0 2.0
2.0 2.0 2.0

0
